Order Type,Row Count,Organization,Order Number,Status,Shipping Type,Created At,In Fulfillment Date,Serial Number,Missing Charger?,Recipient Country,Tracking Number,Order Item Number,Asset Number,Depot Vendor,Items,Shipped Date,In Return Date,Pending Return Date,Completed Date
Deployment,163,Ironclad,96723-1-IRON,IN_FULFILLMENT,Standard,11/08/2025,11/08/2025,K2P2J52179,,United States,,96723-1-1-IRON,40300,ZONES,1,,,,
Deployment,163,Duo Health,96726-1-DUOH,IN_FULFILLMENT,2 Day,11/08/2025,11/08/2025,PF5XHQHY,,United States,,96726-1-1-DUOH,263921,ZONES,1,,,,
Deployment,163,Duo Health,96725-1-DUOH,IN_FULFILLMENT,2 Day,11/08/2025,11/08/2025,PF5XHQHB,,United States,,96725-1-1-DUOH,263922,ZONES,1,,,,
Deployment,163,LOGIXBOARD,96704-1-LOGI,IN_FULFILLMENT,,11/07/2025,11/07/2025,,,United States,,96704-1-9-LOGI,,ZONES,10,,,,
Deployment,163,Ride Health,96701-1-RIDE,IN_FULFILLMENT,2 Day,11/07/2025,11/07/2025,GCCGD4FUQ6L4,,United States,,96701-1-1-RIDE,106990,ZONES,1,,,,
Deployment,163,DTEX Systems,95973-1-DTEX,IN_FULFILLMENT,,11/04/2025,11/07/2025,,,United States,,95973-1-9-DTEX,,ZONES,22,,,,
Deployment,163,Socotra,95838-1-SOCO,IN_FULFILLMENT,Overnight,11/04/2025,11/07/2025,GKGKY6330N,,Canada,,95838-1-1-SOCO,74564,ZONES,1,,,,
Deployment,163,NoRedInk,96655-1-NORE,IN_FULFILLMENT,Standard,11/07/2025,11/07/2025,FQJC3PQ0VC,,United States,,96655-1-1-NORE,101897,ZONES,1,,,,
Deployment,163,Genomenon,96638-1-GENO,IN_FULFILLMENT,2 Day,11/07/2025,11/07/2025,CG7NN9F7XK,,United States,,96638-1-1-GENO,57657,ZONES,1,,,,
Deployment,163,Alpaca,96337-1-ALPA,IN_FULFILLMENT,Standard,11/06/2025,11/07/2025,L41XVV4QCG,,United States,,96337-1-1-ALPA,51271,ZONES,1,,,,
Deployment,163,Horizon3.ai,96635-1-HORI,IN_FULFILLMENT,Standard,11/07/2025,11/07/2025,FM2LKC4,,United States,,96635-1-1-HORI,110277,ZONES,1,,,,
Deployment,163,Verifiable,96543-1-VERI,IN_FULFILLMENT,Standard,11/07/2025,11/07/2025,HCWVKLFTJV,,United States,,96543-1-1-VERI,27749,ZONES,1,,,,
Deployment,163,Seldon,96540-1-SELD,IN_FULFILLMENT,2 Day,11/07/2025,11/07/2025,5CD309B3WT,,United States,,96540-1-1-SELD,37382,ZONES,1,,,,
Deployment,163,Nulogy,96440-1-NULO,IN_FULFILLMENT,Standard,11/06/2025,11/06/2025,LRLWQ9H22J,Missing Charger,Canada,FREIGHT K3234914,96440-1-1-NULO,96952,ZONES,1,,,,
Deployment,163,Trusted Inc.,96435-1-TRUS,SHIPPED,2 Day,11/06/2025,11/06/2025,FVFGJ4PXQ05P,Missing Charger,United States,395075350661,96435-1-1-TRUS,28982,ZONES,1,2025-11-07 09:43:20,,,
Deployment,163,Alpaca,96338-1-ALPA,EXCEPTION,Standard,11/06/2025,11/06/2025,JYJ656LRXL,,Canada,445943506852,96338-1-1-ALPA,74791,ZONES,1,2025-11-07 09:47:16,,,
Deployment,163,Prompt Therapy Solutions,96367-1-PROM,EXCEPTION,Standard,11/06/2025,11/06/2025,FFVJ7G6QCN,,United States,395074315799,96367-1-1-PROM,105884,ZONES,1,2025-11-07 09:44:18,,,
Deployment,163,MANTL,96415-1-MANT,IN_FULFILLMENT,2 Day,11/06/2025,11/06/2025,LX9T29MXLH,,United States,,96415-1-1-MANT,43809,ZONES,1,,,,
Deployment,163,MANTL,96414-1-MANT,SHIPPED,2 Day,11/06/2025,11/06/2025,H06GW9F1Q0,,United States,395073065137,96414-1-1-MANT,49141,ZONES,1,2025-11-06 23:10:20,,,
Deployment,163,Unstructured,96402-1-UNST,SHIPPED,2 Day,11/06/2025,11/06/2025,FC91TVJM6D,Missing Charger,United States,395090552707,96402-1-1-UNST,43105,ZONES,1,2025-11-07 20:51:15,,,
Deployment,163,Duo Health,96394-1-DUOH,SHIPPED,2 Day,11/06/2025,11/06/2025,FJJNQV3,,United States,395073111405,96394-1-1-DUOH,28702,ZONES,1,2025-11-06 23:08:17,,,
Deployment,163,Goodway Group,96349-1-GOOD,SHIPPED,Standard,11/06/2025,11/06/2025,D9RM435XQD,,United States,395075500272,96349-1-1-GOOD,42595,ZONES,1,2025-11-07 09:49:24,,,
Deployment,163,Checkout.com,94950-1-CHEC,COMPLETE,Standard,10/30/2025,11/06/2025,F38VYG25103P7,,United States,395074398821,94950-1-1-CHEC,252532,ZONES,1,2025-11-07 09:42:18,,,2025-11-08 09:42:36
Deployment,163,Simulations Plus,96312-1-SIMU,COMPLETE,Standard,11/05/2025,11/06/2025,5MVZ674,,United States,395074247232,96312-1-1-SIMU,71714,ZONES,1,2025-11-07 09:43:20,,,2025-11-08 12:44:42
Deployment,163,Ironclad,96298-1-IRON,SHIPPED,Standard,11/05/2025,11/05/2025,NQNVKLH7DC,,United States,395074538913,96298-1-1-IRON,38178,ZONES,1,2025-11-07 09:39:31,,,
Deployment,163,Render,96259-1-REND,COMPLETE,Overnight,11/05/2025,11/05/2025,HHHGWC399N,,United States,395032345718,96259-1-1-REND,251697,ZONES,1,2025-11-06 09:43:18,,,2025-11-07 15:46:56
